Score,Latitude,Longitude,Location,Price,Size,Title,Matched Criteria,Penalties,URL,Description
4,42.95937,23.347968,"t. Своге, област София, Bulgaria",32 000 € (400 €/m 2 ) Не се начислява ДДС История на цената,80 кв.м,"Продава КЪЩА област София, гр. Своге Обява: 1j175171836594901",+панорама(+4),,https://www.imot.bg/obiava-1j175171836594901-prodava-kashta-oblast-sofiya-gr-svoge,Вила във вилната зона на град Своге - Остриката . Има 4 стаи и навес . Двор1200 кв.м.  Панорама . Чист въздух . 400 м черен път . Вход от две улици . Изключителни права ....
4,43.072463,23.108167,"v. Гинци, област София, Bulgaria",36 000 € (360 €/m 2 ) Не се начислява ДДС История на цената,100 кв.м,"Продава КЪЩА област София, с. Гинци Обява: 1j175355162331063",+двор(+4),,https://www.imot.bg/obiava-1j175355162331063-prodava-kashta-oblast-sofiya-s-gintsi,"Компания `ЕКС` представя на Вашето внимание къща в село Гинци. МЕСТОПОЛОЖЕНИЕ: Намира се на 50 км. от Центъра на град София. СТРОИТЕЛСТВО: Къщата е от 1989 г. РАЗПРЕДЕЛЕНИЕ: Къщата разполага с площ от 100 кв.м. разпределена в : Първи етаж- кухня, спа..."
4,43.072688,23.107778,"v. Гинци, област София, Bulgaria",45 000 € (62 €/m 2 ) Не се начислява ДДС,730 кв.м,"Продава КЪЩА област София, с. Гинци Обява: 1j178653833603026",+двор(+4),,https://www.imot.bg/obiava-1j178653833603026-prodava-kashta-oblast-sofiya-s-gintsi,КЪЩА С ГЛЕДКА В С. ГИНЦИ !!! СПОКОЙСТВИЕ !!! ЧИСТ ВЪЗДУХ И ПРИРОДА!!! Home2U Ви представя чудесна възможност да притежавате дом в едно от най-красивите и спокойни села в района на Западна Стара планина- с. Гинци. Имотът е подходящ както за постоянно ...
4,43.138725,23.35692,"v. Дружево, област София, Bulgaria",43 000 € (331 €/m 2 ) Не се начислява ДДС История на цената,130 кв.м,"Продава КЪЩА област София, с. Дружево Обява: 1j177988794220451",+двор(+4),,https://www.imot.bg/obiava-1j177988794220451-prodava-kashta-oblast-sofiya-s-druzhevo,"СЕЛСКИ ИМОТ - с. Дружево, община Своге, област София, къща - тухла, плоча, 2 етажа, строена 1979 г., ЗП - 65 кв.м., РЗП - 130 кв.м., състояща се от: 1-ви етаж - кухня с трапезария и две стаи, 2-ри етаж - дневна и две спални, голяма панорамна тераса, ..."
4,42.97752,23.438385,"v. Лесковдол, област София, Bulgaria",37 000 € (411 €/m 2 ) Не се начислява ДДС История на цената,90 кв.м,"Продава КЪЩА област София, с. Лесковдол Обява: 1j173151569941815",+двор(+4),,https://www.imot.bg/obiava-1j173151569941815-prodava-kashta-oblast-sofiya-s-leskovdol,"Масивна триетажна къща на центъра на селото.Достъп целогодишен.Съседи целогодишно живущи.Партер вкопан  три помешения.1 етаж кухня,хол,спалня ,тераса и входно антре.  външни стълби -2 етаж едно цяло помещение със леко  скосяване от едната страна. Дво..."
4,42.9507319,23.1823952,"v. Дреново, област София, Bulgaria",39 000 € (1 300 €/m 2 ) Не се начислява ДДС История на цената,30 кв.м,"Продава КЪЩА област София, с. Дреново Обява: 1j178621270660333",+двор(+4),,https://www.imot.bg/obiava-1j178621270660333-prodava-kashta-oblast-sofiya-s-drenovo,"Сердика 1 недвижими имоти предлага имот с голям потенциал в спокойната зона на с. Дреново. Със своите 588 кв.м двор с денивелация в единия му край. Има сепрична яма в двора. Това е идеалното място за хора с визия, които искат да създадат своя уютен к..."
4,43.138725,23.35614,"v. Дружево, област София, Bulgaria",44 900 € (345 €/m 2 ) Цената е с включено ДДС История на цената,130 кв.м,"Продава КЪЩА област София, с. Дружево Обява: 1j178291566687092",+двор(+4),,https://www.imot.bg/obiava-1j178291566687092-prodava-kashta-oblast-sofiya-s-druzhevo,"ЕРА Фаворит продава ексклузивно двуетажна къща с двор в село Дружево, София област. Квадратурата на всеки етаж е 65 кв. м., големината на двора е 744 кв. м.  Разпределението на първия етаж е входно антре, веранда от 16 кв. м., кухня с трапезария, две..."
4,42.968924,23.297887,"v. Свидня, област София, Bulgaria",35 000 € (1 167 €/m 2 ) Не се начислява ДДС,30 кв.м,"Продава КЪЩА област София, с. Свидня Обява: 1j178541148579304",+двор(+4),,https://www.imot.bg/obiava-1j178541148579304-prodava-kashta-oblast-sofiya-s-svidnya,"Село Свидня е предпочитано място за хора, които търсят спокойствие, чист въздух и близост до природата, без да се лишават от удобствата на ежедневието. Намира се в застроен и обитаем район с целогодишно живеещи съседи. Населеното място разполага с хр..."
4,42.992378,23.635034,"v. Радотина, област София, Bulgaria",28 000 € (400 €/m 2 ) Цената е с включено ДДС История на цената,70 кв.м,"Продава КЪЩА област София, с. Радотина Обява: 1j174547704815796",+двор(+4),,https://www.imot.bg/obiava-1j174547704815796-prodava-kashta-oblast-sofiya-s-radotina,Предлагаме ви стара едноетажна къща в централната част на село Радотина с двор от 700кв.м....
4,42.6977,23.3209,"v. Реброво Брестово, област София, Bulgaria",31 000 € (124 €/m 2 ) Не се начислява ДДС История на цената,250 кв.м,"Продава КЪЩА област София, с. Реброво Брестово Обява: 1j176977681507600",+двор(+4),,https://www.imot.bg/obiava-1j176977681507600-prodava-kashta-oblast-sofiya-s-rebrovo-brestovo,"Къща с двор в с.Реброво,махала Брестово.За повече информация:Димо Точков:0886505060..."
4,42.992378,23.634505,"v. Радотина, област София, Bulgaria",27 500 € (393 €/m 2 ) Не се начислява ДДС,70 кв.м,"Продава КЪЩА област София, с. Радотина Обява: 1j173797710102821",+двор(+4),,https://www.imot.bg/obiava-1j173797710102821-prodava-kashta-oblast-sofiya-s-radotina,"Предлага се за продажба едноетажна къща с двор и второстепенна постройка в централната част на с.Радотина. Къщата е с площ 70 кв.м. и се състои от: дневна част с трапезария и огнище, кухненски бокс, мокро помещение с баня, две стаи и веранда с външна..."
4,43.0264119,23.6619123,"v. Равна, област София, Bulgaria",49 999 € (1 000 €/m 2 ) Цената е с включено ДДС История на цената,50 кв.м,"Продава КЪЩА област София, с. Равна Обява: 1j177789205557806",+двор(+4),,https://www.imot.bg/obiava-1j177789205557806-prodava-kashta-oblast-sofiya-s-ravna,"Продавам вилен имот в годечкото село Равна, отстоящо на 57 километра от София. Предимства: - Голям парцел; - Съчетание на простор, тишина и пленителни гледки към борова гора; - Изцяло асфалтов достъп; - Без малцинства; - Читави съседи; - Привлекателн..."
4,42.903161,23.399922,"v. Реброво, област София, Bulgaria",49 000 € (613 €/m 2 ) Цената е с включено ДДС История на цената,80 кв.м,"Продава КЪЩА област София, с. Реброво Обява: 1j177314753118276","+вода(+10), +кладенец(+5), +двор(+4)",за ремонт(-15),https://www.imot.bg/obiava-1j177314753118276-prodava-kashta-oblast-sofiya-s-rebrovo,"HomeLife Point ви предлага вила в гората с бърз достъп от главен път София - Своге, на 40 км. от столицата за продажба. Имота се намира във вилна зона над с. Реброво с достъп по черен път. Строена през 1970 г., масивна постройка на два етажа и таванс..."
